Applicant_ID,Name,Age,Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Creditworthy
1,Allison Hill,58,28906.49,581,16020.13,24,Self-Employed,0
2,Noah Rhodes,61,79253.42,389,31572.16,12,Employed,0
3,Angie Henderson,31,38612.87,327,30256.03,60,Unemployed,0
4,Daniel Wagner,46,67141.25,306,39146.33,24,Self-Employed,1
5,Cristian Santos,39,42229.71,520,48074.59,36,Employed,0
6,Connie Lawrence,42,27737.31,652,32167.67,12,Self-Employed,1
7,Abigail Shaffer,52,29986.09,687,8546.01,36,Self-Employed,1
8,Gina Moore,54,35383.09,371,7062.1,24,Unemployed,0
9,Gabrielle Davis,32,89318.69,689,17508.81,36,Employed,1
10,Ryan Munoz,40,36760.56,573,36581.91,12,Self-Employed,0
11,Monica Herrera,52,78330.14,467,25801.71,36,Self-Employed,0
12,Jamie Arnold,61,45942.62,357,15307.16,12,Unemployed,1
13,Lisa Hensley,35,25295.09,622,14568.19,48,Unemployed,1
14,Michele Williams,27,41190.41,552,38524.5,60,Unemployed,1
15,Dylan Miller,55,51952.04,524,49879.66,24,Self-Employed,1
16,Brian Ramirez,23,80462.57,412,11877.86,24,Self-Employed,1
17,Holly Wood,56,25082.22,690,31814.98,48,Self-Employed,1
18,Derek Zuniga,53,88862.38,311,35612.75,12,Self-Employed,1
19,Lisa Jackson,59,47214.04,600,24564.44,48,Employed,1
20,Carla Gray,50,80956.98,819,46068.25,36,Self-Employed,0
21,Margaret Hawkins DDS,27,49913.11,465,29272.06,60,Employed,1
22,Patty Perez,49,21558.14,671,44542.48,36,Employed,0
23,Ethan Adams,33,90240.77,380,8854.41,48,Employed,0
24,Tommy Walter,26,72780.07,469,16927.55,60,Unemployed,0
25,Matthew Foster,52,80421.22,505,37082.7,48,Self-Employed,1
26,Judy Baker,46,91969.13,762,10445.19,24,Employed,1
27,Justin Baker,19,67064.7,535,31479.81,12,Employed,0
28,Stephanie Ross,32,25392.03,332,43683.59,12,Self-Employed,0
29,Zachary Hicks,35,73518.22,519,29265.53,60,Self-Employed,1
30,Anthony Rodriguez,33,82769.55,716,13568.45,12,Self-Employed,1
31,Rebecca Henderson,40,53886.29,778,43872.65,12,Self-Employed,0
32,James Ferrell,21,52209.7,647,41026.66,12,Employed,0
33,Tricia Valencia,30,62902.86,443,23984.67,36,Unemployed,0
34,Nathan Maldonado,22,55450.46,400,7276.47,60,Employed,0
35,Debra Davidson,33,33304.89,797,26661.13,48,Employed,0
36,Jeffrey Chavez,42,20172.43,699,16934.14,48,Unemployed,1
37,Sherri Baker,62,96585.41,798,11965.86,36,Employed,0
38,Cassandra Gaines,55,78858.97,362,38658.9,12,Employed,1
39,Elizabeth Fowler,50,93550.97,843,12084.47,60,Employed,0
40,Brittany Farmer,22,67602.81,540,23169.9,60,Employed,0
41,Paula Moreno,57,26558.67,835,19236.64,36,Employed,1
42,Fred Smith,33,41249.16,434,35226.06,36,Unemployed,1
43,Sherry Decker,22,20745.24,402,8296.73,24,Self-Employed,1
44,Anthony Humphrey,26,94660.75,370,44567.16,36,Unemployed,0
45,Angelica Tucker,46,86699.6,609,32525.5,60,Employed,1
46,Philip Cannon,60,28286.92,437,16900.97,12,Self-Employed,0
47,John Pierce,35,42540.5,515,37292.55,24,Self-Employed,1
48,Shane Henderson,50,59082.55,352,9153.43,48,Unemployed,0
49,Joshua Blair,18,46684.52,433,33670.1,36,Employed,1
50,Eric Carney,53,76453.4,309,10034.32,24,Self-Employed,0
51,Jessica Holmes,41,66600.77,451,24340.4,12,Unemployed,1
52,Danny Morgan,20,91913.97,515,35693.0,12,Unemployed,1
53,Crystal Robinson,57,79958.21,542,43907.26,24,Unemployed,0
54,Mark Perez,29,78925.16,640,40207.39,48,Self-Employed,0
55,Shannon Jones,35,32735.83,410,22214.38,12,Unemployed,0
56,Michael Lewis,30,85326.93,771,20734.63,24,Employed,0
57,Timothy Duncan,60,35450.38,636,17537.14,12,Unemployed,1
58,Richard Aguirre,59,60752.45,849,19901.74,12,Employed,1
59,Brent Jordan,29,66447.18,571,6721.57,60,Unemployed,1
60,John Daniel,64,82914.25,746,32279.4,60,Employed,1
61,Victoria Garcia,54,35206.3,345,36895.34,12,Self-Employed,0
62,Gerald Hensley,41,54503.79,638,33041.99,12,Self-Employed,1
63,Connor West,50,44742.77,718,19678.23,36,Self-Employed,0
64,Donald Wright,30,53635.71,688,35479.31,24,Self-Employed,1
65,Jessica Callahan,43,63834.98,300,18674.37,24,Unemployed,1
66,Amber Kidd,47,55342.88,518,28002.83,24,Self-Employed,0
67,Tracy House,36,61236.16,643,9202.42,24,Self-Employed,1
