Employee_ID,Name,Age,Years_of_Experience,Performance_Rating,Projects_Completed,Training_Hours,Eligible_for_Promotion
1,Allison Hill,29,1,4.483100999519666,4,38,0
2,Noah Rhodes,28,18,3.173877665258832,7,14,0
3,Angie Henderson,27,7,3.4653217867814794,10,13,0
4,Daniel Wagner,56,14,3.4408812440813934,10,45,0
5,Cristian Santos,32,14,3.6805010330359837,3,37,1
6,Connie Lawrence,28,3,3.7598546012746747,6,54,1
7,Abigail Shaffer,24,15,4.072456182909401,7,20,1
8,Gina Moore,45,19,3.38457718051332,2,15,0
9,Gabrielle Davis,40,3,4.710635442030294,2,58,1
10,Ryan Munoz,51,12,3.3253081943121696,6,36,1
11,Monica Herrera,26,20,4.2699565763941205,9,41,0
12,Jamie Arnold,51,13,3.539895653568556,9,38,1
13,Lisa Hensley,25,8,4.643605188013616,6,61,1
14,Michele Williams,26,7,4.82627224837109,10,50,0
15,Dylan Miller,53,13,4.769366307773405,8,28,1
16,Brian Ramirez,30,8,4.489977964183213,9,43,1
17,Holly Wood,59,13,3.723992887427222,3,75,1
18,Derek Zuniga,27,2,4.722205819333332,3,90,0
19,Lisa Jackson,49,20,3.127055412303914,7,86,1
20,Carla Gray,55,9,4.942156755227236,1,97,0
21,Margaret Hawkins DDS,56,9,4.537197465314891,6,24,1
22,Patty Perez,49,6,3.9074474126584127,5,74,0
23,Ethan Adams,54,4,4.741037139673534,5,91,0
24,Tommy Walter,31,12,4.5250216001503025,9,77,0
25,Matthew Foster,60,11,3.9772114160578957,2,56,1
26,Judy Baker,37,2,3.481743184894466,10,20,0
27,Justin Baker,53,3,4.955968987354669,9,26,0
28,Stephanie Ross,52,18,3.330253917948255,9,87,1
29,Zachary Hicks,35,18,4.510530393271611,4,49,1
30,Anthony Rodriguez,45,15,4.799228169285891,8,25,0
31,Rebecca Henderson,36,3,3.6761711242949104,10,80,0
32,James Ferrell,59,8,3.014381677970187,1,39,0
33,Tricia Valencia,24,11,3.1417146997773067,4,45,1
34,Nathan Maldonado,35,18,3.26462369745005,10,83,1
35,Debra Davidson,37,16,4.614993995533287,4,22,0
36,Jeffrey Chavez,49,12,3.8471572460398415,8,16,0
37,Sherri Baker,25,13,4.456427176882365,2,41,0
38,Cassandra Gaines,34,18,3.897227095666264,7,33,1
39,Elizabeth Fowler,51,8,4.74897190814116,2,66,0
40,Brittany Farmer,25,18,4.672055170159904,2,40,0
41,Paula Moreno,48,16,3.962716835942079,7,17,0
42,Fred Smith,46,1,4.970617687559452,5,68,1
43,Sherry Decker,49,18,4.323742623901491,8,29,0
44,Anthony Humphrey,40,7,4.937418729938318,10,79,0
45,Angelica Tucker,42,2,3.100284674527907,8,74,0
46,Philip Cannon,25,17,3.160222930481174,3,18,0
47,John Pierce,37,13,3.2397732278942484,10,41,0
48,Shane Henderson,27,14,4.314746328945045,10,76,1
49,Joshua Blair,38,7,4.339451949539658,6,40,1
50,Eric Carney,47,5,4.3433804459199425,5,68,1
51,Jessica Holmes,26,1,3.9165710452371725,10,22,0
52,Danny Morgan,56,7,4.01176938809753,3,54,0
53,Crystal Robinson,37,12,3.5699747824333135,8,79,1
54,Mark Perez,55,1,4.335726407425167,9,48,0
